project,neighborhood,status,sold_out,str_allowed,str_detail,price_from,bedrooms,commission,delivery,delivery_year,architect,lead_developer,url_slug,developer_page_slug
Aman Miami Beach Residences,Miami Beach,Under Construction,No,No,No,,1 to 3 Bedrooms,,2027,2027,Kengo Kuma,OKO Group,preconstruction-miami-beach-aman-miami-beach-residences,developers-oko-group
Anantara Residences Miami,Edgewater,In Contract,No,Varies,Varies,,1 to 6 Bedrooms,0.06,2031,2031,Kohn Pedersen Fox Associates,One Thousand Group,preconstruction-edgewater-anantara-residences-miami,developers-one-thousand-group
Arbor,Coconut Grove,New Construction,No,No,No,,2 to 4 Bedrooms,0.03,2026,2026,Behar Font & Partners,Ark Capital Group,preconstruction-coconut-grove-arbor,developers-ark-capital-group
Aria Reserve North,Edgewater,Topped Off,No,No,No,,1 to 4 Bedrooms,0.06,Q2 2026,2026,Arquitectonica,The Melo Group,preconstruction-edgewater-aria-reserve-north,developers-the-melo-group
Aria Reserve Skyclub,Edgewater,Planning,No,Unknown,,,,,,,,The Melo Group,preconstruction-edgewater-aria-reserve-skyclub,developers-the-melo-group
Atelier Residences Miami,Brickell,In Contract,No,Yes,Yes/Building Prog.,,Studio to 1 Bedroom (3BR Townhomes Available),0.06,Q4 2027,2027,Gensler,BLDG Ventures LLC,preconstruction-brickell-atelier-residences-miami,developers-bldg-ventures-llc
Avenia,Aventura,In Contract,No,No,No,,3 to 4 Bedrooms,0.05,Q4 2028,2028,Kobi Karp Architecture & Interior Design,Vertical Developments,preconstruction-aventura-avenia,developers-vertical-developments
Baccarat Residences,Brickell,Under Construction,No,No,No,,1 to 4 Bedrooms (5BR Upper PH Available),0.06,Q1 2028,2028,Arquitectonica,Related Group,preconstruction-brickell-baccarat-residences,developers-related-group
Bay Harbor Towers,Bay Harbor Islands,Topped Off,No,No,No,,2 to 4 Bedrooms,0.06,Q4 2026,2026,Kobi Karp Architecture & Interior Design,PPG Development,preconstruction-bay-harbor-islands-bay-harbor-towers,developers-ppg-development
Bay Villas,Bay Harbor Islands,In Contract,No,No,No,,3 to 4 Bedrooms,0.05,2028,2028,Kobi Karp Architecture & Interior Design,Regency Development Group,preconstruction-bay-harbor-islands-bay-villas,developers-regency-development-group
Bentley Residences,Sunny Isles Beach,Under Construction,No,No,No,,3 Bedrooms,0.05,Q3 2028,2028,Sieger Suarez Architects,Dezer Development,preconstruction-sunny-isles-beach-bentley-residences,developers-dezer-development
Casa Bella,A+E District,Topped Off,No,No,No,,1 to 4 Bedrooms (5BR Upper PH Available),0.07,Q3 2026,2026,Arquitectonica,Related Group,preconstruction-a-e-district-casa-bella,developers-related-group
Casa Cipriani,Miami Beach,Planning,No,Unknown,,,,,,,,,preconstruction-miami-beach-casa-cipriani,developers
Cassia The Residences at Coral Gables,Coral Gables,Topped Off,No,Yes,Yes/Airbnb & Building Prog.,,1 to 3 Bedrooms,0.06,Q1 2027,2027,Behar Font & Partners,Alta Developers,preconstruction-coral-gables-cassia-the-residences-at-coral-gables,developers-alta-developers
Centralis Residences,Health District,Condo Conversion,No,No,No,,1 to 3 Bedrooms,0.06,Q4 2025,2025,Behar Font & Partners,Gamla Cedron Group,preconstruction-health-district-centralis-residences,developers-gamla-cedron-group
Cipriani Residences,Brickell,Under Construction,No,No,No,,1 to 4 Bedrooms (5BR PH Available),0.06,Q4 2027,2027,Arquitectonica,Mast Capital,preconstruction-brickell-cipriani-residences,developers-mast-capital
Colette Residences,Brickell,In Contract,No,No,No,,2 to 4 Bedrooms,0.05,Q4 2028,2028,OSPA,META Development,preconstruction-brickell-colette-residences,developers-meta-development
